open,high,low,volume,close
0.7906249762,0.8000000119,0.6812499762,184070000,0.8781250119
0.6812499762,0.8937500119,0.6781250238,293608000,0.7749999762
0.8500000238,0.8781250119,0.7718750238,212410000,0.7281249762
0.7749999762,0.7937499881,0.6781250238,175976000,0.7468749881
0.7218750119,0.7781249881,0.6875,208894000,0.8187500238
0.7281249762,0.8312500119,0.7281249762,469104000,0.8249999881
0.7921879888,0.8500000238,0.7781249881,220050000,0.8500000238
0.7875000238,0.8656250238,0.78125,255132000,0.8843749762
0.8671879768,0.9250000119,0.8562499881,168684000,0.9031249881
0.9156249762,0.9187499881,0.8625000119,120340000,0.9187499881
0.9437500238,0.9781249762,0.8874999881,183320000,0.9750000238
0.9187499881,0.9750000238,0.8968750238,82316000,0.9968749881
1.018749952,1.018749952,0.9343749881,123550000,0.9250000119
0.9750000238,0.9968749881,0.9250000119,87972000,0.9476559758
0.9187499881,0.9656249881,0.9125000238,94886000,1.09375
0.9593750238,1.118749976,0.9499999881,276962000,0.9499999881
1.084375024,1.087499976,0.9499999881,141328000,0.9750000238
0.9468749762,1.024999976,0.9437500238,101892000,1.006250024
0.9562500119,1.037500024,0.9406250119,154260000,0.9468749762
1.028125048,1.034374952,0.9335939884,245466000,0.8656250238
0.9468749762,0.9781249762,0.8531249762,409516000,0.8125
0.859375,0.859375,0.7875000238,189374000,0.71875
0.8062499762,0.8093749881,0.7124999762,242022000,0.7218750119
0.7312499881,0.7468749881,0.7156249881,183796000,0.7906249762
0.6906250119,0.7937499881,0.6781250238,381518000,0.75
0.7593749762,0.7906249762,0.7281249762,151358000,0.71875
0.765625,0.7937499881,0.71875,105904000,0.6687499881
0.7156249881,0.7375000119,0.6687499881,149080000,0.7250000238
0.7062500119,0.75,0.6851559877,105906000,0.6875
0.75,0.7531250119,0.6875,95908000,0.7218750119
0.7062500119,0.7375000119,0.6750000119,162468000,0.7250000238
0.6750000119,0.7312499881,0.6750000119,327690000,0.6843749881
0.6812499762,0.7062500119,0.6656249762,129812000,0.625
0.6812499762,0.6843749881,0.6218749881,131782000,0.5968750119
0.6125000119,0.625,0.5656250119,151052000,0.5968750119
0.6000000238,0.6062499881,0.5687500238,164984000,0.5906249881
0.59375,0.6031249762,0.5531250238,102998000,0.5968750119
0.6031249762,0.6125000119,0.5749999881,124582000,0.5874999762
0.5906249881,0.6062499881,0.5812500119,154652000,0.5093749762
0.5625,0.5874999762,0.4968749881,292596000,0.5218750238
0.493750006,0.5343750119,0.4796879888,219934000,0.5
0.5015630126,0.53125,0.5,150912000,0.6312500238
0.6187499762,0.6531249881,0.5749999881,470014000,0.59375
0.6539059877,0.6999999881,0.5625,463830000,0.6125000119
0.5968750119,0.6281250119,0.5718749762,212882000,0.5843750238
0.5968750119,0.6000000238,0.5812500119,99152000,0.6125000119
0.5718749762,0.625,0.5687500238,177134000,0.53125
0.5687500238,0.5843750238,0.5249999762,114330000,0.5500000119
0.5406249762,0.5531250238,0.5249999762,66614000,0.53125
0.5124999881,0.546875,0.5062500238,62488000,0.5437499881
0.5687500238,0.5718749762,0.5406249762,116498000,0.5500000119
0.53125,0.5531250238,0.5124999881,139684000,0.5249999762
0.5593749881,0.5656250119,0.5062500238,135490000,0.5124999881
0.5281249881,0.5749999881,0.5062500238,125894000,0.5
0.5187500119,0.5218750238,0.5,110132000,0.5093749762
0.5031250119,0.5124999881,0.478125006,131892000,0.5093749762
0.5281249881,0.5406249762,0.4968749881,75088000,0.5469999909
0.5350000262,0.5644999743,0.5310000181,137012000,0.5820000172
0.5460000038,0.5899999738,0.5254999995,112064000,0.5400000215
0.5550000072,0.5580000281,0.5375000238,67738000,0.5
0.5285000205,0.5515000224,0.5,92768000,0.511500001
0.5059999824,0.5419999957,0.4954999983,71168000,0.4550000131
0.5164999962,0.5264999866,0.4250000119,176078000,0.4314999878
0.4354999959,0.4575000107,0.4250000119,97314000,0.4199999869
0.4284999967,0.4499999881,0.4050000012,114162000,0.4560000002
0.451000005,0.4650000036,0.4359999895,108484000,0.4185000062
0.4449999928,0.4449999928,0.4099999964,105622000,0.5590000153
0.5920000076,0.5950000286,0.5350000262,468114000,0.6004999876
0.5619999766,0.6750000119,0.5600000024,377208000,0.6660000086
0.6549999714,0.6825000048,0.6090000272,268436000,0.7335000038
0.6524999738,0.7505000234,0.6499999762,230600000,0.7014999986
0.7250000238,0.7269999981,0.6825000048,126202000,0.7369999886
0.690500021,0.7434999943,0.6875,101470000,0.8270000219
0.7829999924,0.9079999924,0.7774999738,391100000,0.7994999886
0.8450000286,0.8450000286,0.7845000029,174852000,0.7889999747
0.7810000181,0.8100000024,0.7484999895,170442000,0.8100000024
0.8195000291,0.8730000257,0.800999999,233792000,0.7839999795
0.8220000267,0.8399999738,0.773999989,141652000,0.8044999838
0.7845000029,0.8050000072,0.7300000191,186342000,0.7714999914
0.8125,0.8249999881,0.75,119212000,0.7634999752
0.7860000134,0.7864999771,0.7509999871,88920000,0.7889999747
0.7814999819,0.8450000286,0.7795000076,115606000,0.8445000052
0.7950000167,0.8500000238,0.7900000215,102158000,0.8554999828
0.8569999933,0.8715000153,0.8420000076,149944000,0.8374999762
0.8414999843,0.8500000238,0.8125,100200000,0.878000021
0.8174999952,0.8799999952,0.7965000272,131690000,0.8460000157
0.8679999709,0.8765000105,0.8255000114,101674000,0.8090000153
0.8140000105,0.8245000243,0.7799999714,143830000,0.7505000234
0.7774999738,0.7829999924,0.75,93420000,0.7310000062
0.7699999809,0.7820000052,0.7300000191,100252000,0.7340000272
0.7275000215,0.7400000095,0.6999999881,69738000,0.6664999723
0.7264999747,0.7264999747,0.6579999924,123884000,0.6769999862
0.6675000191,0.7149999738,0.6570000052,122624000,0.7064999938
0.6725000143,0.7189999819,0.6549999714,145580000,0.7390000224
0.7045000196,0.75,0.7014999986,135108000,0.7360000014
0.74150002,0.75,0.7250000238,101436000,0.8190000057
0.7475000024,0.82099998,0.7375000119,144648000,0.8125
0.83950001,0.8500000238,0.7950000167,146180000,0.7799999714
0.8100000024,0.8399999738,0.7559999824,178530000,0.8374999762
0.78549999,0.8374999762,0.7624999881,106698000,0.8544999957
